time,biker-tower.SpreadingActivation,j:tower i:biker-tower.Strength
56.96,0.006,
57.5,0.768,0.762
58.03,0.976,0.964
58.55,0.018,0.995
59.09,0.023,0.999
59.61,0.029,1
60.13,1.029,1
60.66,1.035,1
61.18,0.04,1
61.72,0.04,1
62.24,0.04,1
62.77,0.039,1
63.29,0.039,1
63.8,0.039,1
64.33,0.038,1
64.87,0.038,1
65.4,0.037,1
65.92,0.037,1
66.44,0.037,1
66.96,0.037,1
66.96,,
67.5,0.036,1
68.02,0.036,1
68.55,0.036,1
69.07,0.035,1
69.58,0.035,1
70.11,0.035,1
70.65,0.035,1
71.18,0.034,1
71.7,0.034,1
72.24,0.034,1
72.76,0.034,1
73.29,0.033,1
73.81,0.033,1
74.35,0.033,1
74.87,0.033,1
75.37,0.033,1
75.91,0.032,1
76.44,0.032,1
76.46,,
76.98,0.032,1
77.5,0.032,1
78.03,0.031,1
78.55,0.031,1
79.07,0.031,1
79.61,0.031,1
80.13,0.03,1
80.66,0.03,1
81.18,0.03,1
81.72,0.03,1
82.24,0.03,1
82.74,0.03,1
83.28,0.029,1
83.8,0.029,1
84.35,0.029,1
84.87,0.029,1
85.39,0.029,1
85.92,0.028,1
86.44,0.028,1
86.95,0.028,1
86.96,,
87.5,0.028,1
88.02,0.028,1
88.55,0.027,1
89.06,0.027,1
89.59,0.027,1
90.11,0.027,1
90.66,0.027,1
91.18,0.027,1
91.72,0.027,1
92.24,0.026,1
92.74,0.026,1
93.24,0.026,1
93.46,,
93.96,,
94.46,,
94.96,,
95.46,,
95.96,,
96.46
96.96
97.46
97.96
98.46
98.96
99.46
99.96
100.46
100.96
101.46
101.96
102.46
102.96
103.46
103.96
104.46
104.96
105.46
105.96
106.46
106.96
107.46
107.96
108.46
108.96
109.46
109.96
110.46
110.96
111.46
111.96
112.46
112.96
113.46
113.96
114.46
114.96
115.46
115.96
116.46
116.96
117.46
117.96
118.46
118.96
119.46
119.96
120.46
120.96
121.46
121.96
122.46
122.96
123.46
123.96
